,Hole,Source_id,Field,Logging_Unit
0,RHRC02660612,False,False,2403
1,RHRC02660616,False,False,2403
2,RHRC02670611,False,False,2403
3,RHRC02670612,False,False,2403
4,RHRC02670614,False,False,2403
5,RHRC02670616,False,False,2403
6,RHRC02680610,False,False,2403
7,RHRC02680612,False,False,2403
8,RHRC02680614,False,False,2403
9,RHRC02690610,False,False,2403
10,RHRC02690611,False,False,2403
11,RHRC02690613,False,False,2204
12,RHRC02690614,False,False,2403
13,RHRC02700610,False,False,2403
14,RHRC02700612,False,False,2403
15,RHRC02700614,False,False,2403
16,RHRC02700616,False,False,2403
17,RHRC02710604,False,False,2403
18,RHRC02710606,False,False,2403
19,RHRC02710607,False,False,2403
20,RHRC02710610,False,False,2403
21,RHRC02710611,False,False,2403
22,RHRC02710612,False,False,2403
23,RHRC02710613,False,False,2403
24,RHRC02710614,False,False,2403
25,RHRC02710616,False,False,2403
26,RHRC02720604,False,False,2403
27,RHRC02720606,False,False,2403
28,RHRC02720610,False,False,2403
29,RHRC02720612,False,False,2403
30,RHRC02720614,False,False,2403
31,RHRC02720616,False,False,2403
32,RHRC02730606,False,False,2403
33,RHRC02730607,False,False,2403
34,RHRC02730610,False,False,2403
35,RHRC02730611,False,False,2403
36,RHRC02730613,False,False,2403
37,RHRC02730614,False,False,2403
38,RHRC02730616,False,False,2403
39,RHRC02740604,False,False,2403
40,RHRC02740606,False,False,2403
41,RHRC02740610,False,False,2403
42,RHRC02740612,False,False,2403
43,RHRC02740614,False,False,2403
44,RHRC02750606,False,False,2403
45,RHRC02750607,False,False,2403
46,RHRC02750610,False,False,2403
47,RHRC02750611,False,False,2403
48,RHRC02750612,False,False,2403
49,RHRC02750613,False,False,2403
50,RHRC02760610,False,False,2403
51,RHRC02770606,False,False,2204
52,RHRC02770607,False,False,2403
53,RHRC02780604,False,False,2204
54,RHRC02780606,False,False,2204
55,RHRC02790604,False,False,2204
56,RHRC02790607,False,False,2403
57,RHRC04840584,True,True,2403
58,RHRC04870585,True,True,2403
59,RHRC04870587,True,True,2403
60,RHRC04890586,True,True,2403
61,RHRC04920587,True,True,2403
62,RHRC04930587,True,True,2403
63,RHRC04940587,False,True,2403
64,RHRC04950587,True,True,2403
65,RHRC05020588,True,True,2403
66,RHRC05030588,False,False,2403
67,RHRC05040588,True,True,2403
68,RHRC05060588,True,True,2403
69,RHRC05070588,True,True,2403
70,RHRC05080588,True,True,2403
71,RHRC05100588,False,False,2403
72,RHRC05110588,False,False,2403
73,RHRC05120588,False,False,2403
74,RHRC05140588,False,False,2403
75,RHRC05160589,True,True,2403
76,RHRC05190587,True,True,2403
77,RHRC05210587,True,True,2403
78,RHRC05230587,True,True,2403
79,RHRC05250587,True,True,2403
80,RHRC08030169,False,False,2403
81,RHRC08030170,False,False,2403
82,RHRC08040171,False,False,2403
83,RHRC08170178,True,True,2403
84,RHRC08180178,False,False,2403
85,RHRC08180180,True,True,2403
86,RHRC08190178,False,False,2403
87,RHRC08190180,True,True,2403
88,RHRC08190187,True,True,2403
89,RHRC08190189,False,False,2403
90,RHRC08200177,True,True,2403
91,RHRC08200178,False,False,2403
92,RHRC08210175,False,False,2403
93,RHRC08210178,False,False,2403
94,RHRC08210180,True,True,2403
95,RHRC08210187,False,False,2403
96,RHRC08220180,True,True,2403
97,RHRC08220182,True,True,2403
98,RHRC08230187,True,True,2403
99,RHRC08230189,False,False,2403
100,RHRC08240179,False,False,2403
101,RHRC08240180,True,True,2403
102,RHRC08250180,True,True,2403
103,RHRC08250187,False,False,2403
104,RHRC08260179,True,True,2403
105,RHRC08260180,True,True,2403
106,RHRC08270180,True,True,2403
107,RHRC08280169,True,True,2403
108,RHRC08280171,False,False,2403
109,RHRC08280173,False,False,2403
110,RHRC08280175,False,False,2403
111,RHRC08280179,False,False,2403
112,RHRC08280180,True,True,2403
113,RHRC08290180,True,True,2403
114,RHRC08300169,True,True,2403
115,RHRC08300171,False,False,2403
116,RHRC08300177,True,True,2403
117,RHRC08300179,True,True,2403
118,RHRC08300180,True,True,2403
119,RHRC08310180,True,True,2403
120,RHRC08340169,False,False,2403
